ticker,close,date,high,low,month,open,volume
RELIANCE,1157.08,04-10-2023 05:30,1159.5,1147.55,2023-10,1154.5,10286386
HCLTECH,1239.55,04-10-2023 05:30,1244.8,1225,2023-10,1234,2253785
JSWSTEEL,756.6,04-10-2023 05:30,768,753.15,2023-10,767.95,1654158
ULTRACEMCO,8120.85,04-10-2023 05:30,8292.55,8045.05,2023-10,8292.55,884369
POWERGRID,199,04-10-2023 05:30,199.4,195.4,2023-10,198.9,14120040
INFY,1444.35,04-10-2023 05:30,1449.95,1418.2,2023-10,1425,4510406
TRENT,2022.3,04-10-2023 05:30,2055.95,2007.6,2023-10,2054,551771
AIRTEL,924.25,04-10-2023 05:30,925.95,918.3,2023-10,918.3,5603669
TATAMOTORS,613.6,04-10-2023 05:30,620.8,608.3,2023-10,620.8,7612709
WIPRO,404.9,04-10-2023 05:30,405.45,400.65,2023-10,402.7,3452935
TECHM,1205,04-10-2023 05:30,1215.5,1186.05,2023-10,1210,2340603
NTPC,235.15,04-10-2023 05:30,241,231.5,2023-10,241,25424437
HINDUNILVR,2507.85,04-10-2023 05:30,2511.05,2465.15,2023-10,2467.05,1587335
APOLLOHOSP,5047.4,04-10-2023 05:30,5096.85,4982.3,2023-10,5085,442482
M&M,1522.1,04-10-2023 05:30,1537.9,1501.75,2023-10,1531.8,2580901
GRASIM,1888.34,04-10-2023 05:30,1902.44,1869.62,2023-10,1898.45,687673
ICICIBANK,930.05,04-10-2023 05:30,935.5,925,2023-10,935,17334739
ADANIENT,2464.95,04-10-2023 05:30,2502.75,2392.25,2023-10,2402.2,2857377
ADANIPORTS,824.6,04-10-2023 05:30,845.45,819.35,2023-10,830.95,4096647
BEL,138.85,04-10-2023 05:30,139.15,136.55,2023-10,138,14912053
BAJAJFINSV,1532.55,04-10-2023 05:30,1555.85,1521.15,2023-10,1555,1614123
EICHERMOT,3400.9,04-10-2023 05:30,3408.95,3323.75,2023-10,3350,566983
COALINDIA,287.95,04-10-2023 05:30,291.5,285.9,2023-10,290.8,6338888
MARUTI,10129.8,04-10-2023 05:30,10283.9,10090,2023-10,10283.9,407793
INDUSINDBK,1401.3,04-10-2023 05:30,1428.5,1386.2,2023-10,1424.85,3978667
ASIANPAINT,3169.9,04-10-2023 05:30,3189,3151.35,2023-10,3164.95,892584
TATASTEEL,125.3,04-10-2023 05:30,127.1,124.5,2023-10,127,33272725
HDFCLIFE,625.5,04-10-2023 05:30,632,624.25,2023-10,631,2357914
DRREDDY,1083.56,04-10-2023 05:30,1099.8,1080.3,2023-10,1093,2109530
SUNPHARMA,1123.8,04-10-2023 05:30,1139,1113,2023-10,1138.1,1803871
KOTAKBANK,1722.05,04-10-2023 05:30,1727,1709,2023-10,1715,6220979
SHRIRAMFIN,1850.6,04-10-2023 05:30,1919.95,1841.5,2023-10,1909,1340167
NESTLEIND,2298.62,04-10-2023 05:30,2335.88,2255.1,2023-10,2280.51,2134880
ONGC,182.75,04-10-2023 05:30,184.6,182.1,2023-10,184.45,9360058
CIPLA,1167.05,04-10-2023 05:30,1185,1161.3,2023-10,1178.1,999123
BPCL,170.68,04-10-2023 05:30,172.48,169.78,2023-10,170.68,6049760
BRITANNIA,4532.5,04-10-2023 05:30,4540,4466.75,2023-10,4490,318564
SBILIFE,1270.55,04-10-2023 05:30,1297.7,1264.35,2023-10,1291.6,1139615
HINDALCO,473.4,04-10-2023 05:30,477.9,470,2023-10,474,3302259
HEROMOTOCO,2989.05,04-10-2023 05:30,3020,2976.05,2023-10,3015.95,307263
AXISBANK,995.55,04-10-2023 05:30,1037,988.85,2023-10,1035.35,22584212
HDFCBANK,1529.55,04-10-2023 05:30,1535,1489.25,2023-10,1495,27324715
BAJAJ-AUTO,4918.6,04-10-2023 05:30,5019.2,4903.05,2023-10,5011.25,256544
SBIN,592.15,05-10-2023 05:30,594.35,587.1,2023-10,590,13248028
BAJFINANCE,7850.9,05-10-2023 05:30,7914.85,7826.9,2023-10,7914.85,795061
TITAN,3216.5,05-10-2023 05:30,3231,3165,2023-10,3173.9,1109881
ITC,436.05,05-10-2023 05:30,440.5,435.05,2023-10,440,10030257
TCS,3589.35,05-10-2023 05:30,3624,3551.2,2023-10,3554,2990768
LT,3096.05,05-10-2023 05:30,3114.9,3032.55,2023-10,3032.55,3413447
TATACONSUM,849.64,05-10-2023 05:30,858.58,846.97,2023-10,855.42,740770
RELIANCE,1157.05,05-10-2023 05:30,1164.7,1154.5,2023-10,1159.63,10953682
HCLTECH,1235.45,05-10-2023 05:30,1253.95,1227.8,2023-10,1249,2995200
JSWSTEEL,755.5,05-10-2023 05:30,762.65,752.9,2023-10,762,1459736
ULTRACEMCO,8177.45,05-10-2023 05:30,8208.8,8125,2023-10,8177,310506
POWERGRID,196.6,05-10-2023 05:30,199.5,195.35,2023-10,199.5,14575590
INFY,1463.45,05-10-2023 05:30,1475.65,1450.2,2023-10,1452,7384621
TRENT,2047.6,05-10-2023 05:30,2058.15,2022.3,2023-10,2022.95,461744
AIRTEL,928.85,05-10-2023 05:30,929.6,919.4,2023-10,925.05,7063132
TATAMOTORS,619.6,05-10-2023 05:30,621.35,614.65,2023-10,619,7893892
WIPRO,406.8,05-10-2023 05:30,410.4,405,2023-10,407.95,4062652
TECHM,1205.6,05-10-2023 05:30,1223.95,1199.5,2023-10,1214,2497613
NTPC,233.85,05-10-2023 05:30,237.4,232.05,2023-10,237.25,22472389
HINDUNILVR,2519.55,05-10-2023 05:30,2524.8,2495.35,2023-10,2518,1909928
APOLLOHOSP,5047.05,05-10-2023 05:30,5079.85,5026.65,2023-10,5054.95,363289
M&M,1537.95,05-10-2023 05:30,1550.8,1513.05,2023-10,1533,1991367
GRASIM,1882.67,05-10-2023 05:30,1901.44,1873.55,2023-10,1889.59,544715
